#{"t_start": 1774194196.1778681, "env_id": null}
r,l,t
939.543,221,343.111974
814.0,204,344.074238
881.351,203,345.08787
846.09,200,346.089019
1001.29354,231,347.225838
858.749,202,348.236006
800.479,202,349.266919
876.088,205,350.327572
983.660914,224,351.434638
915.071,218,352.490294
893.73,211,353.547511
861.5925,206,354.542425
815.898,200,355.535968
954.8,220,356.628955
850.54,200,357.652056
1006.971257,229,358.818855
956.4981,229,359.935378
848.84,200,360.991438
939.0414,213,362.083242
893.34,205,363.173585
901.2472,212,364.254643
883.82,209,365.314471
929.324,215,366.731844
920.77882,210,368.353341
835.68,200,369.442959
838.68,200,370.447247
987.347,232,371.591357
875.9,201,372.609292
858.76,200,373.616291
857.52,200,374.660319
885.5093,210,375.703961
862.73,207,376.765848
888.1,216,377.8522
927.16,226,379.041875
805.802,200,380.087208
905.07,210,381.176965
856.44,200,382.214412
834.54,200,383.310114
986.508,226,384.426014
916.6448,214,385.509639
887.2,207,386.57525
996.04008,240,387.756106
917.82,225,388.871179
879.601,203,389.903405
841.288,200,390.984625
953.2305,225,392.116036
918.277,218,393.20933
934.7742,210,394.192585
810.62,196,395.245966
883.704,206,396.704157
857.71,200,397.886417
856.0,200,398.927051
830.669,200,399.908655
840.47,200,400.863891
831.81,200,401.832494
907.97,200,402.777593
888.102,200,403.743944
1001.549,222,404.806035
883.5,200,405.807218
887.23,205,406.817691
996.80488,213,407.867442
1020.751,217,408.912397
815.948,200,410.186881
850.61,197,411.175168
836.018,200,412.241964
842.116,200,413.301004
892.5159,200,414.323728
929.73,205,415.357495
852.195,200,416.35212
846.1,195,417.31017
817.69,200,418.295112
821.53,195,419.251111
807.05,188,420.218509
941.1,211,421.279311
833.144,195,422.302907
933.185,204,423.334282
840.5402,200,424.309774
897.155,203,425.288365
805.84,195,426.308634
820.92,198,427.696298
1128.85,228,428.991931
798.795,200,429.96611
848.4,200,430.984274
906.46,210,431.967203
862.7,200,432.912309
873.93,200,434.032115
806.59,200,435.089723
990.5012,218,436.314543
1030.71,224,437.562922
914.804,204,438.668297
845.21095,196,439.64912
809.4368,194,440.941245
796.92,200,442.068919
908.41,209,443.129449
1122.228,240,444.348006
985.915,211,445.431171
1005.023,213,446.522349
1013.3,212,447.498099
773.72,188,448.4568
1007.2362,216,449.504397
959.068,218,450.557478
1003.0,208,451.607118
877.506,200,452.567223
880.12,200,453.577423
939.277,204,454.563384
831.8,197,455.754353
946.31,202,457.33958
862.33,200,458.328492
867.8,200,459.262202
1008.852,221,460.303053
981.39,216,461.364334
853.728,200,462.308027
880.799,200,463.311333
1024.225,222,464.407023
921.0833,200,465.447434
1068.701,227,466.544524
905.5,200,467.770227
1090.0,222,468.939653
901.868,200,469.917665
827.584,194,470.847658
904.4,200,471.841943
865.58,197,472.794755
877.72,200,473.788769
1024.228,218,474.802488
895.72,200,475.77967
893.93,203,476.773503
794.35,200,477.759414
862.3,200,478.667196
909.61,201,479.681192
876.65,200,480.76133
809.4,188,481.800611
842.925,200,483.000231
943.288,200,484.119845
854.6368,195,485.260918
905.3,200,486.476682
767.864,180,487.798671
863.882,200,488.922244
857.5,200,489.922661
899.196,200,490.939032
979.95,214,491.983921
916.891,200,492.978199
1025.517,208,494.044292
914.0,201,495.086673
919.14,200,496.110057
964.5,202,497.289482
776.24,189,498.270132
1035.6,206,499.317545
1053.52,217,500.408701
945.526,202,501.440323
794.8,186,502.369764
932.91,202,503.422026
983.3,208,504.446333
997.188,209,505.489316
1032.42,216,506.544255
1218.86,237,507.72431
1078.342,215,508.848083
1127.5479,228,510.037977
1223.4526,249,511.358082
905.8,200,512.578347
1299.79,240,513.845973
1054.91,212,514.883291
1090.89,222,516.156543
1169.035,238,518.034384
957.65,212,519.12602
856.14,191,520.048886
1179.778,237,521.261165
1001.84,210,522.268745
921.98,200,523.193217
858.75,194,524.199597
1043.9,218,525.232454
1065.26,212,526.326809
781.86,190,527.286227
1003.5,214,528.242627
1020.96,214,529.424145
1224.98,231,530.54782
1397.7,250,531.710279
1097.1572,222,532.964141
1010.8695,213,534.185252
1333.8,250,535.574432
1316.116,248,537.170209
1362.832,250,538.954429
1287.83148,247,540.542069
1042.43,214,541.719429
1258.124,237,543.133026
1505.24,264,544.533086
1095.6055,222,545.634942
1156.06,225,547.134203
1194.53,231,548.818109
1152.06,228,549.996966
1256.62,239,551.194108
975.9,205,552.18613
1377.7,254,553.414663
1499.496,267,554.867914
1239.97,232,556.07118
1312.22,250,557.362968
1260.08,246,558.722139
1299.014,249,560.038074
1370.682,250,561.485072
1110.75,223,562.627019
1323.3,250,563.886989
1624.91,273,565.294679
1122.04,220,566.426214
1316.38,247,567.701165
1205.406,235,568.869859
1321.216,247,570.138624
1311.827,250,571.384049
1292.195,238,572.553843
961.16,203,573.575946
1315.8,238,574.970946
1409.76,254,576.347526
1403.834,252,578.174658
1228.5,233,579.679593
1001.2,200,580.81024
1384.78,250,582.11952
1614.12,276,583.59557
1332.94,250,584.949758
1213.4,230,586.16863
1351.5,250,587.467697
1225.042,229,588.759184
1576.7,275,590.265891
1305.594,242,591.527535
1527.83,263,593.022135
1668.34,283,594.716492
1280.2,241,595.958139
1342.63,250,597.287021
1428.5,250,598.598027
1760.3,300,600.391003
1268.66,237,601.715238
1630.93,280,603.179644
1477.4176,257,604.506133
1383.6,250,605.80135
1137.328,219,607.247213
1336.3,250,608.691033
1085.32,219,609.812387
1373.9,247,611.123414
1778.8,295,612.611289
1619.8,281,614.014917
855.6,185,614.97869
941.0,200,616.08219
1089.3,208,617.170026
1138.18,219,618.307636
1196.2,222,619.438185
1652.8165,279,620.878148
1117.3,213,621.950419
1774.54,300,623.488778
1382.3,251,624.790389
1306.2,240,626.046465
1139.82,225,627.219587
1307.85,238,628.418656
1488.05,262,629.755952
1212.356,232,630.904009
1156.21,222,632.018223
1330.22,250,633.266149
1153.4,222,634.391125
1141.6,218,635.504963
1380.8,249,637.309569
950.94,200,638.403415
1376.6168,250,639.691221
1291.41,235,640.882383
1381.23,250,642.10724
1200.4,225,643.239763
1411.638,250,644.511159
1112.84,216,645.600728
1758.912,292,647.099482
1340.512,250,648.310923
1466.24,259,649.582947
1415.83,250,650.836133
1386.142,250,652.128112
1297.1,239,653.374701
1725.4,283,654.754587
946.28,200,655.729916
1281.6,233,656.933448
1841.0,300,658.426462
1869.4,300,659.999563
1803.822,300,661.587041
1499.56,264,663.006225
1408.55,250,664.430426
1697.08,282,666.084361
1523.144,267,668.221155
1524.35,267,669.644223
1771.563,292,671.071258
1885.305,304,672.533114
1836.5,300,674.051435
1808.0,298,675.546166
1715.2,282,677.141606
1702.85,284,678.537949
1564.272,264,679.903432
1667.7,276,681.362317
1498.75,263,682.687133
2050.24,324,684.310967
1864.54,298,685.890175
